"entidad","periodo","C110_Disponibilidades","C120_Inversiones","C130_Creditos","C139_Estimaciones","C140_CuentasxCobrar","C150_BienesVenta","C160_PartEmpresas","C170_PropiedadesEquipo","C180_OtrosActivos","C210_OblPublico","C220_OblBCCR","C230_OblEntidades","C240_CuentasxPagar","C250_OtrosPasivos","C260_ObligSubord","C310_CapitalSocial","C330_AjusOtrosResultados","C320_AportNoCap","C340_Reservas","C350_ResultadosAcum"
"CMB",2015-09-01,67687544157.81,113576734575.99,29934577413.31,-233723889.49,879104000.83,0,0,195818813.69,530276113.19,184008173686.59,0,2955288424.93,2155380494.74,3603753756.62,0,1.1917e+10,-85501443.04,7926600000,0,0
"CMB",2015-10-01,76463278479.25,127824118472.57,31350585272.85,-266253950.51,490018961.92,0,0,225900983.09,140226139.07,202910830159.68,0,10021719470.36,2266300046.62,228350071.52,0,1.1917e+10,775061500.67,7926600000,0,0
"CMB",2015-11-01,59352501237.48,134118567801.71,29940491118.88,-318146661.62,923225151.03,0,0,226029170.34,287259247.54,197516010234.61,0,3572975780.21,2501002012.82,551720532.65,0,1.1917e+10,338473555.15,7926600000,0,0
"CMB",2015-12-01,69628078695.17,129074555738.4,30526156903.13,-414688180.29,122207470.4,0,0,279540736.35,546923175.1,188727584434.07,500090277.78,12183408896.35,2215859805.95,5212494324.41,0,19843600000,758720977.58,0,0,0
"CMB",2016-01-01,64167627463.38,139798003639.32,33577056482.44,-313133893.16,201384633.84,0,0,680985441.72,1912746489.21,212645269625.37,0,3032815169.74,2310670801.23,678169332.59,0,19843600000,718568381.08,0,73570400.24,662133602.17
"CMB",2016-02-01,39332015330.69,165507546368.84,33589912200.64,-389971351.68,229368733.58,0,0,823847926.03,2316701719.09,214993019102.45,0,2235713018.55,2102039480.81,535955112.18,0,19843600000,607222594.59,0,73570400.24,662133602.17
"CMB",2016-03-01,59089561224.25,156821755271.52,36275095982.42,-382697127.95,226980825.92,0,0,809917971.27,3614089846.09,226162160204.47,0,3833229508.07,1916879717.3,2738178860.66,0,19843600000,524142124.53,0,73570400.24,662133602.17
"CMB",2016-04-01,49051660343.44,144328114281.66,46424295802.43,-521544974.13,165693301.23,0,0,1040570371.48,1724141105.68,215399592470.55,0,999549728.4,2094136516.99,1754829205.29,0,19843600000,531283421.51,0,73570400.24,662133602.17
"CMB",2016-05-01,44525200122.66,152177909783.12,43486031527,-499879096.03,221039215.47,0,0,1032557340.63,2333713575.83,198700163262.47,14063527109.62,4460954947.84,2269341825.4,1774652208.41,0,19843600000,243221663.14,0,73570400.24,662133602.17
"CMB",2016-06-01,51340545922.51,135376769171.29,45915223749.4,-436598240.95,123840944.28,0,0,912110279.82,2376842576.26,201396643624.29,2071482661.74,6250952047.19,2545525618.92,1002000025.36,0,19843600000,236779758.48,0,73570400.24,662133602.17
